Item,Category,Tier,Notes
Annihilus,Charm,High,Used on every build. The only Unique Small Charm. Acquired by killing Diablo Clone | Stats: +x to all Attributes. All Resistances +x+x% to Experience Gained
Arachnid Mesh,Belt,High,Best in Slot for most Caster builds. Example: Lightning Sentry Assassin
Bul-Kathos' Wedding Band,Ring,High,Best in Slot for +x to Skills reliant builds. Example: Blessed Hammer Paladin | Stats: x% Life stolen per hit
Cold Rupture,Charm,High,Sets all Immune to Cold monsters to 95% Cold Resistance. It also reduces your own Resistance to Cold Damage.See: Sunder Charms
Crack of the Heavens,Charm,High,Sets all Immune to Lightning monsters to 95% Lightning Resistance. It also reduces your own Resistance to Lightning Damage.See: Sunder Charms
Crown of Ages,Helm,High,Recommended on most Hardcore builds. Example: Poison Javelin Amazon | Stats: Socketed [x]Damage Reduced by x%All Resistances +x
Death's Fathom,Weapon,High,Best damage Weapon for a Cold Sorceress. Example: Blizzard Sorceress | Stats: +x% to Cold Skill Damage. Lightning Resist +xx%Fire Resist +xx%
Death's Web,Weapon,High,Best in Slot for Poison Nova Necromancers | Stats: -x% to Enemy Poison Resistance+x to Poison and Bone Skills+x to Mana after each Kill+x to Life after each Kill
Griffon's Eye,Helm,High,Best in Slot for most Lightning builds. Example: Lightning Fury Amazon | Stats: -x% to Enemy Lightning Resistance+x% to Lightning Skill Damage
Harlequin Crest,Helm,High,Extremely sought after early on. Best in Slot on most Magic Find builds. Example: Frozen Orb Sorceress
Hellfire Torch,Charm,High,Used on every build. The only Unique Large Charm. Acquired by killing the Uber Bosses. Value depends on Class!Sorceress &gt; Paladin &gt; Rest | Stats: +x to Class Skill Levels+x to all Attributes. All Resistances +x
Herald of Zakarum,Shield,High,Best in Slot for several Paladin builds. Example: Fist of the Heavens Paladin
Highlord's Wrath,Amulet,High,Best in Slot on many Attack builds. Example: Dream Paladin
Mara's Kaleidoscope,Amulet,High,Most versatile Amulet for +x to Skills reliant builds. Example: Summoner Necromancer | Stats: All Resistances +x
Rainbow Facet,Jewel,High,"Increases the damage of builds using the type listed on the item. Only valuable with perfect or near perfect rolls, otherwise they're hard to trade. Example: Poison Nova Necromancer. Lightning &gt; Fire &gt; Cold &gt; Poison | Stats: -x% to Enemy xx Resistance+x% to xx Skill Damage"
Skin of the Vipermagi,Body Armor,High,Best in Slot for some Caster builds. Powerful transition Item. Example: Frozen Orb Meteor Sorceress | Stats: All Resistances +x. Magic Damage Reduced by x
Tal Rasha's Adjudication,Amulet (Set),High,Best in Slot for Magic Find Sorceresses. Mostly used in combination with Tal Rasha's Guardianship and Tal Rasha's Fine-Spun Cloth. Example: Fire Ball Nova Sorceress
Tal Rasha's Guardianship,Body Armor (Set),High,Best in Slot for Magic Find Sorceresses. Mostly used in combination with Tal Rasha's Adjudication and Tal Rasha's Fine-Spun Cloth. Example: Meteor Sorceress
The Oculus,Weapon,High,Best in Slot for Magic Find Sorceresses. Dangerous on Hardcore. Example: Hydra Sorceress
The Stone of Jordan,Ring,High,Used to spawn Diablo Clone. Best in Slot for builds that require +x to Skills
Tyrael's Might,Body Armor,High,"Used in very niche builds. Rarest item in the game, making it a great trophy. It also has an iconic look, making it the ultimate swag item | Stats: All Resistances +x+x to Strength+x% Damage to Demons"
War Traveler,Boots,High,Best Boots for Magic Find builds. Best in Slot for some Physical Damage builds. Example: Multiple Shot Amazon | Stats: x% Better Chance of Getting Magic Items
Wisp Projector,Ring,High,The rarest ring in the game. Provides both Magic Find and Lightning Absorb. Frequently used by Uber Tristram builds. Example: Smite Paladin | Stats: Lightning Absorb x%x% Better Chance of Getting Magic Items
Andariel's Visage,Helm,Med,Best in Slot for most Act 2 Mercenaries | Stats: +x% Life stolen per hit+x to Strength. Ethereal
Arkaine's Valor,Body Armor,Med,Only usable with +2 to All Skills | Stats: +x to All Skills
Arreat's Face,Helm,Med,Best in Slot on several Barbarian Attack builds. Example: Frenzy Barbarian | Stats: x% Life stolen per hit
Azurewrath,Weapon,Med,Primarily an Act 3 or Act 5 Mercenary Weapon | Stats: Level x Sanctuary Aura When Equipped+x to all Attributes
Bone Break,Charm,Med,Sets all Immune to Physical monsters to 95% Physical Resistance. It also reduces your own Resistance to Physical Damage.See: Sunder Charms
Chance Guards,Gloves,Med,Best Gloves for Magic and Gold Find builds. Example: Gold Find Barbarian. Requires a high Magic Find roll | Stats: x% Better Chance of Getting Magic Items
Dracul's Grasp,Gloves,Med,Best in Slot for Melee Uber Tristram builds. Example: Dragon Talon Assassin | Stats: +x to Strengthx% Life stolen per hit
Eschuta's Temper,Weapon,Med,Best damage Weapon for a. Lightning or Fire Sorceress. Requires +3 Skills and a good damage roll | Stats: +x to Sorceress Skill Levels+x% to Lightning Skill Damage. OR+x% to Fire Skill Damage
Flame Rift,Charm,Med,Sets all Immune to Fire monsters to 95% Fire Resistance. It also reduces your own Resistance to Fire Damage.See: Sunder Charms
Gheed's Fortune,Charm,Med,Used in most builds. Especially Magic and Gold Find builds. Example: Berserk Barbarian | Stats: All Stats are important. Priority depends on the use
Gore Rider,Boots,Med,Best in Slot for several Attack builds. Example: Dragon Talon Assassin | Stats: Base Item upgrade through Horadric Cube recipe (For the example build)
Griswold's Honor,Shield (Set),Med,Full Set used in budget Paladin setups. Highest Faster Block Rate value in the game
Griswold's Redemption,Weapon (Set),Med,Full Set used in budget Paladin setups. It is also used by the Werebear Sorceress for high Attack Speed | Stats: Socketed [4] required+x% Enhanced Damage
Guillaume's Face,Helm (Set),Med,Best in Slot for Melee Uber Tristram builds and Mercenaries in niche scenarios. Example: Zeal Paladin
Hand of Blessed Light,Weapon,Med,Solid Weapon option for a Fist of the Heavens Paladin
Homunculus,Shield,Med,Strong Item for Necromancers. Best in Slot when going Max Block. Example: Poison Nova Necromancer
Immortal King's Soul Cage,Body Armor (Set),Med,Rarest piece of the Immortal King Set. The complete Set is a solid option for the Whirlwind Barbarian early on
Lacerator,Weapon,Med,Best in slot on Throw Barbarians. Requires Ethereal for High Value | Stats: Ethereal+x% Enhanced Damage
M'avina's True Sight,Helm (Set),Med,Rarest piece of the M'avina's Set. Only used in full M'avina's Battle Hymn setups. Example: Freezing Arrow Amazon
Metalgrid,Amulet,Med,Strong option for Attack builds that require Resistances and Attack Rating. Used for Iron Golem as well. Example: Dragon Talon Assassin | Stats: All Resistances +x+x to Attack Rating
Nightwing's Veil,Helm,Med,Best Helmet for damage on Cold Skill builds. Example: Freezing Arrow Amazon | Stats: +x% to Cold Skill Damage+x to Dexterity+x Cold Absorb
Ondal's Wisdom,Weapon,Med,Provides the rare Stat of +5% to Experience Gained. Frequently used to reach high Levels | Stats: +x to All Skills. Magic Damage Reduced by x
Ormus' Robes,Body Armor,Med,Best damage option for Sorceressand niche Elemental Damage builds. Example: Blizzard Sorceress | Stats: +x to Skill (Sorceress Only)+x% to Cold Skill Damage*+x% to Lightning Skill Damage*+x% to Fire Skill Damage**Only the Element of the build
Raven Frost,Ring,Med,Best in Slot for most Attack builds due to Cannot be Frozen. Example: Frenzy Barbarian | Stats: +x to Dexterity+x to Attack Rating
Ravenlore,Helm,Med,Best in Slot on a Fissure Druid | Stats: -x% to Enemy Fire Resistance. All Resistances +x+x to Energy
Shadow Dancer,Boots,Med,Highest Kick Damage Boots. Used for Prebuff and Faster Hit Recovery | Stats: +x to Shadow Disciplines+x to Dexterity
Skullder's Ire,Body Armor,Med,Strong option for early Magic Find. Good for builds that don't require defensive Stats. Drops in value after a couple of weeks due to better setups. Example: Lightning Fury Amazon | Stats: Ethereal
Stormlash,Weapon,Med,Niche Item that is rarely used. Hard to Trade. Example: Dragon Talon Assassin | Stats: +x% Enhanced Damage
Tal Rasha's Fine-Spun Cloth,Belt (Set),Med,Best in Slot for Magic Find Sorceresses. Only used in combination with Tal Rasha's Guardianship and Tal Rasha's Adjudication. Example: Fire Ball Nova Sorceress | Stats: x% Better Chance of Getting Magic Items
Tal Rasha's Horadric Crest,Helm (Set),Med,Used on early-game Mercenaries and full Tal Rasha's Wrappings setups. Drops in Value after Early Ladder
Tal Rasha's Lidless Eye,Weapon (Set),Med,Used in 4-Piece and full Tal Rasha's Wrappings setups. Example: Fire Ball Nova Sorceress | Stats: +x to Cold Mastery+x to Fire Mastery+x to Lightning Mastery
The Reaper's Toll,Weapon,Med,Best in Slot on some Mercenaries of Physical Damage builds. Can also be used as a Weapon on Shapeshifting builds. Example: Werewolf Fury Druid | Stats: Ethereal+x% Enhanced Damagex% Life stolen per hit
Thundergod's Vigor,Belt,Med,Best in slot for Lightning Strike Amazons. Frequently used by Uber Tristram Builds for its Lightning Absorb
Thunderstroke,Weapon,Med,Best in Slot for boss killing setups of the. Lightning Fury Amazon | Stats: +x to Javelin and Spear Skills
Titan's Revenge,Weapon,Med,Best Unique Weapon for Amazons using the. Javelin and Spear Skill tree. Example: Poison Javelin Amazon | Stats: Ethereal+x% Enhanced Damagex% Life stolen per hit
Trang-Oul's Claws,Gloves (Set),Med,Best in Slot on some Caster Builds. Also used in 3-Piece and full Trang-Oul's Avatar setups
Trang-Oul's Girth,Belt (Set),Med,Solid option to gain Cannot Be Frozen. Rarest piece of the Trang-Oul's Set. Used in 3-Piece and full Trang-Oul's Avatar setups
Vampire Gaze,Helm,Med,Best in Slot for some Mercenaries and some Hardcore melee Attack builds | Stats: Damage Reduced by x%x% Life stolen per hitx% Mana stolen per hit. Magic Damage Reduced by x
Verdungo's Hearty Cord,Belt,Med,"Provides large amounts of survivability. Used mostly in Pv. P, Ubers, Hardcore and niche builds. Example: Zeal Paladin | Stats: Damage Reduced by x%+x to Vitality. Replenish Life +x"
Warshrike,Weapon,Med,Solid option for Throw Barbarians. Requires Ethereal for High Value | Stats: Ethereal+x% Enhanced Damage
Waterwalk,Boots,Med,Provides great survivability. Example: Blessed Hammer Paladin | Stats: +x to Life
Windforce,Weapon,Med,One of the best options for Physical Damage Bow Amazons. Example: Multiple Shot Amazon | Stats: x% Mana stolen per hit
Wizardspike,Weapon,Med,Super strong early-game option. Situational in late-game
Aldur's Advance,Boots (Set),Low,Solid Boots that can be used on every build. Especially useful when in need of Fire Resist | Stats: Fire Resist +x%
Arm of King Leoric,Weapon,Low,Good mid-game Weapon for a. Summon Necromancer
